index date open high low close closeAdj volume closeUSD
HSI 2020-08-21 25007.13086 25178.78906 24885.85938 25113.83984 25113.83984 1210267900.0 3264.7991792000000
HSI 2020-08-24 25352.78906 25551.58008 25325.15039 25551.58008 25551.58008 1352263800.0 3321.7054104
HSI 2020-08-25 25586.99023 25621.08008 25352.25977 25486.2207 25486.2207 1350837400.0 3313.2086910000000
HSI 2020-08-26 25520.41016 25603.16992 25360.0293 25491.78906 25491.78906 1319876200.0 3313.9325778
HSI 2020-08-27 25469.76953 25469.76953 25186.41992 25281.15039 25281.15039 1701268300.0 3286.5495507
HSI 2020-08-28 25330.76953 25749.40039 25258.16016 25422.06055 25422.06055 2065272600.0 3304.8678715
HSI 2020-08-31 25732.49023 25847.10938 25177.05078 25177.05078 25177.05078 3195378200.0 3273.0166014
HSI 2020-09-01 25085.66992 25254.14063 24995.44922 25184.84961 25184.84961 1729452000.0 3274.0304493000000
HSI 2020-09-02 25239.85938 25239.85938 24931.16992 25120.08984 25120.08984 2349955800.0 3265.6116792000000
HSI 2020-09-03 25026.99023 25216.01953 24854.58008 25007.59961 25007.59961 2007341100.0 3250.9879493000000
HSI 2020-09-04 24668.80078 24813.96094 24488.64063 24695.44922 24695.44922 3393745100.0 3210.4083986
HSI 2020-09-07 24621.01953 24908.28906 24475.60938 24589.65039 24589.65039 1682872900.0 3196.6545507
HSI 2020-09-08 24785.25977 24785.25977 24341.32031 24624.33984 24624.33984 2074591000.0 3201.1641792
HSI 2020-09-09 24295.41992 24520.91992 24213.35938 24468.92969 24468.92969 1749348400.0 3180.9608597
HSI 2020-09-10 24584.93945 24615.59961 24293.21094 24313.53906 24313.53906 1349478000.0 3160.7600778
HSI 2020-09-11 24352.63086 24572.66016 24293.0293 24503.31055 24503.31055 1306598900.0 3185.4303715
HSI 2020-09-14 24569.0293 24750.94922 24556.51953 24640.2793 24640.2793 1091380700.0 3203.236309
HSI 2020-09-15 24621.65039 24826.86914 24621.65039 24732.75977 24732.75977 1733769600.0 3215.2587701
HSI 2020-09-16 24823.96094 24829.86914 24635.24023 24725.63086 24725.63086 1303202100.0 3214.3320118
HSI 2020-09-17 24676.41016 24713.78906 24250.90039 24340.84961 24340.84961 1630900300.0 3164.3104493
HSI 2020-09-18 24381.13086 24501.16016 24295.00977 24455.41016 24455.41016 2301812900.0 3179.2033208000000
HSI 2020-09-21 24483.91016 24542.55078 23928.01953 23950.68945 23950.68945 1602081500.0 3113.5896285000000
HSI 2020-09-22 23839.66992 23908.50977 23675.61914 23716.84961 23716.84961 1553227700.0 3083.1904493
HSI 2020-09-23 23701.11914 23795.18945 23559.99023 23742.50977 23742.50977 1642933400.0 3086.5262701
HSI 2020-09-24 23537.83008 23590.41992 23225.33008 23311.07031 23311.07031 1913657500.0 3030.4391403
HSI 2020-09-25 23425.75 23495.25977 23124.25 23235.41992 23235.41992 1794075400.0 3020.6045896
HSI 2020-09-28 23284.08984 23523.81055 23250.33984 23476.05078 23476.05078 1446839400.0 3051.8866014000000
HSI 2020-09-29 23584.60938 23601.40039 23256.91992 23275.5293 23275.5293 1526746600.0 3025.818809
HSI 2020-09-30 23548.89063 23780.86914 23368.49023 23459.05078 23459.05078 1453016000.0 3049.6766014000000
HSI 2020-10-05 24039.39063 24039.39063 23674.51953 23767.7793 23767.7793 1420427500.0 3089.8113090000000
HSI 2020-10-06 23895.21094 24005.0293 23842.25 23980.65039 23980.65039 1325452200.0 3117.4845507
HSI 2020-10-07 23999.78906 24243.91016 23905.41992 24242.85938 24242.85938 1537076100.0 3151.5717194000000
HSI 2020-10-08 24263.33008 24263.33008 24021.92969 24193.34961 24193.34961 1182030300.0 3145.1354493000000
HSI 2020-10-09 24343.81055 24343.81055 24059.28906 24119.13086 24119.13086 1358969500.0 3135.4870118000000
HSI 2020-10-12 24217.25 24702.81055 24196.80078 24649.67969 24649.67969 2430403500.0 3204.4583597
HSI 2020-10-14 24808.84961 24808.84961 24498.93945 24667.08984 24667.08984 2550042800.0 3206.7216792000000
HSI 2020-10-15 24533.75 24573.25 24102.21094 24158.53906 24158.53906 2134202800.0 3140.6100778
HSI 2020-10-16 24194.41016 24456.9707 24194.41016 24386.78906 24386.78906 2697525100.0 3170.2825778
HSI 2020-10-19 24565.42969 24771.84961 24478.4707 24542.25977 24542.25977 3605537600.0 3190.4937701000000
HSI 2020-10-20 24571.64063 24600.39063 24456.83984 24569.53906 24569.53906 1879052000.0 3194.0400778
HSI 2020-10-21 24695.53906 24903.0 24653.16016 24754.41992 24754.41992 1929447200.0 3218.0745896000000
HSI 2020-10-22 24696.31055 24817.00977 24556.55078 24786.13086 24786.13086 2486871200.0 3222.1970118000000
HSI 2020-10-23 24773.11914 24970.58984 24683.25 24918.7793 24918.7793 2368156700.0 3239.441309
HSI 2020-10-27 24839.9707 24872.51953 24602.10938 24787.18945 24787.18945 2435164600.0 3222.3346285000000
HSI 2020-10-28 24773.53906 24844.78906 24586.06055 24708.80078 24708.80078 2011940400.0 3212.1441014
HSI 2020-10-29 24290.00977 24678.90039 24258.56055 24586.59961 24586.59961 1936749000.0 3196.2579493000000
HSI 2020-10-30 24535.90039 24600.53906 24029.94922 24107.41992 24107.41992 2537744200.0 3133.9645896
HSI 2020-11-02 24274.83008 24486.01953 24232.66016 24460.00977 24460.00977 2355413200.0 3179.8012701000000
HSI 2020-11-03 24689.56055 25048.5293 24689.50977 24939.73047 24939.73047 2244353000.0 3242.1649611
HSI 2020-11-04 24790.0 25093.7207 24733.23047 24886.14063 24886.14063 2305561500.0 3235.1982819000000
HSI 2020-11-05 25500.91016 25695.91992 25343.43945 25695.91992 25695.91992 2617492000.0 3340.4695896000000
HSI 2020-11-06 25750.7793 25799.9707 25540.98047 25712.9707 25712.9707 2370476000.0 3342.6861910000000
HSI 2020-11-09 26157.76953 26172.23047 25950.41016 26016.16992 26016.16992 2350101500.0 3382.1020896
HSI 2020-11-10 26474.03906 26474.03906 26041.86914 26301.48047 26301.48047 3847144100.0 3419.1924611
HSI 2020-11-11 26226.80078 26432.56055 26168.63086 26226.98047 26226.98047 4120773700.0 3409.5074611
HSI 2020-11-12 26409.33984 26460.93945 26071.15039 26169.38086 26169.38086 2679020500.0 3402.0195118
HSI 2020-11-13 26114.59961 26156.85938 25909.17969 26156.85938 26156.85938 2435105000.0 3400.3917194000000
HSI 2020-11-16 26362.07031 26394.40039 26191.53906 26381.66992 26381.66992 2090236500.0 3429.6170896000000
HSI 2020-11-17 26515.08984 26530.53906 26339.88086 26415.08984 26415.08984 2394565600.0 3433.9616792
HSI 2020-11-18 26434.24023 26618.00977 26344.85938 26544.28906 26544.28906 2292758600.0 3450.7575778
HSI 2020-11-19 26460.60938 26460.60938 26311.64063 26356.9707 26356.9707 2413890100.0 3426.4061910000000
HSI 2020-11-20 26406.86914 26564.25 26313.2793 26451.53906 26451.53906 2149354400.0 3438.7000778
HSI 2020-11-23 26659.78906 26662.66016 26369.33984 26486.19922 26486.19922 2235155500.0 3443.2058986000000
HSI 2020-11-24 26630.33984 26630.33984 26409.76953 26588.19922 26588.19922 2014989400.0 3456.4658986
HSI 2020-11-25 26819.96094 27040.41016 26591.30078 26669.75 26669.75 2859974400.0 3467.0675
HSI 2020-11-26 26695.25 26819.44922 26612.0 26819.44922 26819.44922 1977652900.0 3486.5283986
HSI 2020-11-27 26758.49023 27009.15039 26704.59961 26894.67969 26894.67969 2733597200.0 3496.3083597000000
HSI 2020-11-30 26853.39063 26960.92969 26322.67969 26341.49023 26341.49023 5742060100.0 3424.3937299
HSI 2020-12-01 26422.71094 26662.17969 26375.24023 26567.67969 26567.67969 3564238900.0 3453.7983597
HSI 2020-12-02 26670.11914 26670.11914 26379.48047 26532.58008 26532.58008 3704087400.0 3449.2354104
HSI 2020-12-03 26623.41992 26781.99023 26556.01953 26728.5 26728.5 2830413900.0 3474.705
HSI 2020-12-04 26811.58984 26835.91992 26652.33984 26835.91992 26835.91992 3205350200.0 3488.6695896
HSI 2020-12-07 26870.58008 26870.58008 26256.40039 26506.84961 26506.84961 2806021200.0 3445.8904493000000
HSI 2020-12-08 26460.34961 26460.34961 26270.91016 26304.56055 26304.56055 2542680300.0 3419.5928715
HSI 2020-12-09 26510.41992 26666.93945 26445.66016 26502.83984 26502.83984 2537716200.0 3445.3691792
HSI 2020-12-10 26335.25977 26434.4707 26287.01953 26410.58984 26410.58984 2000568900.0 3433.3766792
HSI 2020-12-11 26634.21094 26704.00977 26443.00977 26505.86914 26505.86914 2497420400.0 3445.7629882
HSI 2020-12-14 26522.09961 26544.11914 26318.10938 26389.51953 26389.51953 2210976700.0 3430.6375389000000
HSI 2020-12-15 26418.92969 26436.03906 26127.67969 26207.28906 26207.28906 2587144400.0 3406.9475778
HSI 2020-12-16 26421.21094 26510.18945 26318.74023 26460.28906 26460.28906 2043444500.0 3439.8375778
HSI 2020-12-17 26608.43945 26678.38086 26390.58984 26678.38086 26678.38086 2262422800.0 3468.1895118
HSI 2020-12-18 26650.49023 26668.09961 26363.05078 26498.59961 26498.59961 3080026700.0 3444.8179493000000
HSI 2020-12-21 26422.61914 26498.65039 26274.65039 26306.67969 26306.67969 2044977300.0 3419.8683597000000
HSI 2020-12-22 26260.7793 26365.19922 25998.86914 26119.25 26119.25 1747533900.0 3395.5025
HSI 2020-12-23 26083.10938 26343.09961 26071.75977 26343.09961 26343.09961 2009461800.0 3424.6029493
HSI 2020-12-24 26342.86914 26470.40039 26221.30078 26386.56055 26386.56055 1297803000.0 3430.2528715
HSI 2020-12-28 26288.36914 26514.08008 26264.32031 26314.63086 26314.63086 2669629600.0 3420.9020118000000
HSI 2020-12-29 26490.44922 26618.7793 26432.91016 26568.49023 26568.49023 2304707300.0 3453.9037299
HSI 2020-12-30 26695.10938 27159.4707 26670.9707 27147.10938 27147.10938 2552802900.0 3529.1242194
HSI 2020-12-31 27194.78906 27340.99023 27163.50977 27231.13086 27231.13086 2054705300.0 3540.0470118000000
HSI 2021-01-04 27087.13086 27502.83008 27079.24023 27472.81055 27472.81055 2870443300.0 3571.4653715
